Number,Residence Hall,Room,Occupancy,Time
91,West Andrews,353,1,4/13/10 6:57:03
91,East Andrews,360,1,4/13/10 6:57:07
91,East Andrews,362,1,4/13/10 6:57:11
91,West Andrews,307,1,4/13/10 6:57:16
91,West Andrews,305,1,4/13/10 6:57:18
91,East Andrews,356,1,4/13/10 6:57:37
92,Metcalf,306,1,4/13/10 6:57:54
92,Metcalf,308,1,4/13/10 6:57:56
93,Minden,301,3,4/13/10 6:58:10
94,West Andrews,357,1,4/13/10 6:58:46
95,Drop to 108,,,4/13/10 6:58:57
96,Hegeman,C307,3,4/13/10 6:59:23
97,East Andrews,206,1,4/13/10 6:59:35
97,East Andrews,208,1,4/13/10 6:59:37
98,East Andrews,258,1,4/13/10 6:59:47
99,Metcalf,304,1,4/13/10 7:00:00
99,Metcalf,125,1,4/13/10 7:00:03
100,Gregorian Quad A,410C,1,4/13/10 7:00:17
101,Barbour Hall Apartments,340,4,4/13/10 7:00:39
102,Wayland House,346,1,4/13/10 7:00:53
103,Plantations House,204,1,4/13/10 7:01:05
104,Young Orchard #4,210,4,4/13/10 7:01:28
104,Gregorian Quad A,409B,1,4/13/10 7:01:36
105,Plantations House,101,1,4/13/10 7:02:13
106,Metcalf,325,1,4/13/10 7:02:41
107,West Andrews,455,1,4/13/10 7:02:55
107,West Andrews,457,1,4/13/10 7:02:56
107,East Andrews,456,1,4/13/10 7:02:59
107,East Andrews,462,1,4/13/10 7:03:04
108,Young Orchard #4,310,4,4/13/10 7:03:19
108,Young Orchard #4,220,4,4/13/10 7:03:23
108,Young Orchard #4,420,4,4/13/10 7:03:33
109,No Show,,,4/13/10 7:03:48
110,Woolley,113,1,4/13/10 7:04:01
111,Gregorian Quad B,402F,1,4/13/10 7:04:16
112,Drop to 159,,,4/13/10 7:04:32
113,Young Orchard #4,120,4,4/13/10 7:05:02
114,Gregorian Quad B,405F,1,4/13/10 7:05:14
115,Hegeman,B306,3,4/13/10 7:05:36
116,Miller,110,1,4/13/10 7:06:10
116,Gregorian Quad B,403D,1,4/13/10 7:06:19
117,Hegeman,A101,3,4/13/10 7:06:37
118,Hope College,108,1,4/13/10 7:06:48
119,Young Orchard #4,230,4,4/13/10 7:07:01
120,Slater Hall,104,3,4/13/10 7:07:17
121,Miller,409,1,4/13/10 7:07:29
122,Gregorian Quad A,405,3,4/13/10 7:07:56
122,Gregorian Quad A,408C,1,4/13/10 7:08:04
122,Gregorian Quad A,409C,1,4/13/10 7:08:10
122,Gregorian Quad A,410B,1,4/13/10 7:08:16
123,Gregorian Quad B,401F,1,4/13/10 7:08:56
124,Young Orchard #4,240,4,4/13/10 7:09:08
125,Drop to 171,,,4/13/10 7:09:31
126,West Andrews,453,1,4/13/10 7:09:45
126,East Andrews,410,1,4/13/10 7:09:49
127,Drop to 162,,,4/13/10 7:10:09
128,Minden,707,2,4/13/10 7:10:35
129,Gregorian Quad B,402B,1,4/13/10 7:10:54
129,Gregorian Quad B,403A,1,4/13/10 7:10:56
130,Young Orchard #10,310,4,4/13/10 7:11:14
131,East Andrews,260,1,4/13/10 7:11:29
132,Gregorian Quad B,405A,1,4/13/10 7:11:57
132,West Andrews,257,1,4/13/10 7:12:07
132,West Andrews,201,1,4/13/10 7:12:10
133,Young Orchard #4,410,4,4/13/10 7:12:29
134,Gregorian Quad B,402D,1,4/13/10 7:12:43
135,Gregorian Quad B,401E,1,4/13/10 7:13:01
136,Young Orchard #10,340,4,4/13/10 7:13:19
137,No Show,,,4/13/10 7:13:36
138,Young Orchard #4,430,4,4/13/10 7:13:52
139,Young Orchard #10,210,4,4/13/10 7:14:02
140,Gregorian Quad B,403E,1,4/13/10 7:14:23
140,Gregorian Quad B,405D,1,4/13/10 7:14:24
140,Gregorian Quad B,405E,1,4/13/10 7:14:26
141,Wayland House,322,1,4/13/10 7:15:05
141,Wayland House,327,1,4/13/10 7:15:08
142,Young Orchard #10,410,4,4/13/10 7:15:25
142,Young Orchard #10,440,4,4/13/10 7:15:26
143,Gregorian Quad B,401D,1,4/13/10 7:15:56
144,Minden,307,2,4/13/10 7:16:11
145,Wayland House,326,1,4/13/10 7:16:20
146,East Andrews,210,1,4/13/10 7:16:35
146,West Andrews,359,1,4/13/10 7:16:37
146,East Andrews,358,1,4/13/10 7:16:49
146,East Andrews,262,1,4/13/10 7:17:01
146,East Andrews,204,1,4/13/10 7:17:10
147,Gregorian Quad A,305,3,4/13/10 7:17:40
148,Champlin,423,1,4/13/10 7:17:53
149,Wayland House,230,1,4/13/10 7:18:15
150,Metcalf,313,1,4/13/10 7:18:27
150,Metcalf,315,1,4/13/10 7:18:29
151,Sears House,327,1,4/13/10 7:18:56
152,Young Orchard #10,320,4,4/13/10 7:19:12
153,Hegeman,A201,3,4/13/10 7:19:24
154,Slater Hall,402,2,4/13/10 7:19:38
154,Slater Hall,403,2,4/13/10 7:19:40
155,Miller,405,1,4/13/10 7:19:54
155,Miller,419,1,4/13/10 7:19:56
156,West Andrews,207,1,4/13/10 7:20:07
157,West Andrews,259,1,4/13/10 7:20:23
158,West Andrews,253,1,4/13/10 7:20:39
159,Metcalf,104,1,4/13/10 7:20:55
159,Metcalf,107,1,4/13/10 7:20:56
159,Metcalf,110,1,4/13/10 7:21:24
159,Metcalf,112,1,4/13/10 7:21:33
160,Hegeman,E215,3,4/13/10 7:22:04
161,No Show,,,4/13/10 7:22:22
162,Young Orchard #10,230,4,4/13/10 7:22:48
162,New Pembroke #3,212,1,4/13/10 7:22:54
163,Sears House,114B,1,4/13/10 7:23:08
164,New Pembroke #4,227,1,4/13/10 7:23:37
165,No Show,,,4/13/10 7:24:02
166,Wayland House,330,1,4/13/10 7:24:19
166,Wayland House,332,1,4/13/10 7:24:21
167,No Show,,,4/13/10 7:24:46
168,Young Orchard #10,420,4,4/13/10 7:24:59
169,Hope College,116,1,4/13/10 7:25:16
170,Metcalf,320,1,4/13/10 7:25:35
171,Young Orchard #4,110,4,4/13/10 7:25:54
172,Metcalf,301,1,4/13/10 7:26:13
173,Wayland House,312,1,4/13/10 7:26:25
173,Wayland House,313,1,4/13/10 7:26:27
174,Metcalf,323,1,4/13/10 7:26:46
174,Metcalf,317,1,4/13/10 7:26:48
175,Emery,220,1,4/13/10 7:27:01
176,Wayland House,232,1,4/13/10 7:27:21
177,Olney House,314,1,4/13/10 7:27:38
178,Emery,417,1,4/13/10 7:27:56
179,Wayland House,304,1,4/13/10 7:28:27
180,Metcalf,322,1,4/13/10 7:28:52
180,Metcalf,318,1,4/13/10 7:29:05
180,Metcalf,316,1,4/13/10 7:29:06
181,Sears House,220,1,4/13/10 7:29:21
181,Sears House,222,1,4/13/10 7:29:22
182,Metcalf,309,1,4/13/10 7:30:52
183,Emery,420,1,4/13/10 7:31:00
184,Young Orchard #10,430,4,4/13/10 7:31:05
185,Goddard House,330,1,4/13/10 7:31:15
186,Miller,108,1,4/13/10 7:31:32
187,No Show,,,4/13/10 7:31:53
188,Young Orchard #10,120,4,4/13/10 7:32:07
188,Wayland House,212,1,4/13/10 7:32:17
189,Metcalf,109,1,4/13/10 7:32:43
190,Woolley,229,1,4/13/10 7:33:00
191,Wayland House,213,1,4/13/10 7:33:20
192,No Show,,,4/13/10 7:33:40
193,Miller,124,2,4/13/10 7:34:01
193,Miller,118,1,4/13/10 7:34:03
194,Miller,117,1,4/13/10 7:34:19
195,Hope College,408,1,4/13/10 7:34:37
196,Wayland House,318,1,4/13/10 7:34:52
197,Young Orchard #10,110,4,4/13/10 7:35:06
198,Wayland House,237,1,4/13/10 7:35:26
199,Minden,608,2,4/13/10 7:35:49
199,Metcalf,312,1,4/13/10 7:35:53
199,Metcalf,314,1,4/13/10 7:35:55
200,Minden,208,2,4/13/10 7:36:20
201,Metcalf,311,1,4/13/10 7:37:32
202,Woolley,129,1,4/13/10 7:37:46
203,Woolley,429,1,4/13/10 7:37:58
203,Woolley,329,1,4/13/10 7:38:01
204,Metcalf,123,1,4/13/10 7:38:23
205,Young Orchard #2,110,4,4/13/10 7:39:34
206,Hope College,406,1,4/13/10 7:39:58
207,Hope College,106,1,4/13/10 7:40:15
208,Minden,715,3,4/13/10 7:40:43
209,Woolley,218,1,4/13/10 7:41:06
209,Goddard House,316,1,4/13/10 7:41:19
209,Goddard House,317,1,4/13/10 7:41:20
209,Goddard House,318,1,4/13/10 7:41:20
210,Hope College,414,1,4/13/10 7:41:57
211,Drop to 276,,,4/13/10 7:42:15
212,Gregorian Quad A,213,4,4/13/10 7:42:44
213,Hegeman,B304,3,4/13/10 7:43:03
214,Gregorian Quad B,306,4,4/13/10 7:43:25
215,No Show,,,4/13/10 7:43:52
216,Gregorian Quad A,307,5,4/13/10 7:44:03
217,Woolley,115,1,4/13/10 7:44:18
217,Woolley,116,1,4/13/10 7:44:18
218,Metcalf,102,1,4/13/10 7:44:34
218,Metcalf,111,1,4/13/10 7:44:35
219,Hegeman,D310,3,4/13/10 7:45:00
220,No Show,,,4/13/10 7:45:17
221,Hegeman,D210,3,4/13/10 7:45:41
222,Hope College,114,1,4/13/10 7:45:54
223,Miller,413,1,4/13/10 7:46:13
223,Miller,415,1,4/13/10 7:46:14
224,No Show,,,4/13/10 7:46:33
225,Minden,408,2,4/13/10 7:46:52
226,No Show,,,4/13/10 7:47:18
227,New Pembroke #2,207,1,4/13/10 7:47:31
228,Hegeman,B206,3,4/13/10 7:47:49
229,Woolley,306,1,4/13/10 7:48:02
230,Olney House,319,1,4/13/10 7:48:18
230,Sears House,306A,1,4/13/10 7:48:25
231,No Show,,,4/13/10 7:49:04
232,Emery,104,1,4/13/10 7:49:24
232,Emery,117,1,4/13/10 7:49:30
233,Gregorian Quad A,306,4,4/13/10 7:49:51
234,No Show,,,4/13/10 7:50:21
235,Marcy House,228,1,4/13/10 7:50:45
236,Pass,,,4/13/10 7:51:13
237,Miller,100,1,4/13/10 7:52:27
237,Metcalf,302,1,4/13/10 7:52:28
237,Metcalf,310,1,4/13/10 7:52:28
238,Drop to 276,,,4/13/10 7:52:52
239,Gregorian Quad B,206,4,4/13/10 7:53:13
240,No Show,,,4/13/10 7:53:42
241,Gregorian Quad B,205,4,4/13/10 7:53:51
242,Poland House,332,1,4/13/10 7:54:16
242,Poland House,319,1,4/13/10 7:54:17
242,Archibald House,307,1,4/13/10 7:54:21
242,Woolley,318,1,4/13/10 7:54:28
242,Woolley,319,1,4/13/10 7:54:30
243,Gregorian Quad B,310,4,4/13/10 7:54:57
244,Goddard House,219,1,4/13/10 7:55:15
244,Goddard House,319,1,4/13/10 7:55:18
245,Gregorian Quad A,208,5,4/13/10 7:55:36
246,Gregorian Quad A,404,4,4/13/10 7:55:48
247,Gregorian Quad A,204,4,4/13/10 7:56:02
248,Slater Hall,404,3,4/13/10 7:56:25
248,Goddard House,212,1,4/13/10 7:56:39
249,Gregorian Quad B,203,4,4/13/10 7:56:56
250,Goddard House,231,1,4/13/10 7:57:28
250,Goddard House,232,1,4/13/10 7:57:30
250,Goddard House,310,1,4/13/10 7:57:40
251,No Show,,,4/13/10 7:58:22
252,No Show,,,4/13/10 7:58:42
253,Champlin,306,1,4/13/10 7:58:58
253,Woolley,418,1,4/13/10 7:59:06
253,Woolley,316,1,4/13/10 7:59:14
254,Emery,204,1,4/13/10 7:59:32
254,Emery,301,1,4/13/10 7:59:33
255,Chapin House,327,1,4/13/10 8:00:03
256,Hegeman,B107,3,4/13/10 8:00:19
257,Drop to 351,,,4/13/10 8:00:38
258,No Show,,,4/13/10 8:01:12
259,Gregorian Quad A,313,4,4/13/10 8:01:31
259,Machado,34,1,4/13/10 8:01:43
260,Woolley,219,1,4/13/10 8:02:03
261,Minden,215,3,4/13/10 8:02:29
262,Goddard House,312,1,4/13/10 8:03:07
262,Goddard House,313,1,4/13/10 8:03:08
262,Goddard House,314,1,4/13/10 8:03:10
262,Goddard House,331,1,4/13/10 8:03:13
262,Goddard House,333,1,4/13/10 8:03:15
263,Drop to 280,,,4/13/10 8:03:38
264,Gregorian Quad B,207,5,4/13/10 8:03:58
264,Sears House,326A,1,4/13/10 8:04:07
264,Sears House,326B,1,4/13/10 8:04:10
265,Minden,708,2,4/13/10 8:04:29
266,Goddard House,214,1,4/13/10 8:04:43
267,Gregorian Quad B,308,4,4/13/10 8:04:57
268,Goddard House,230,1,4/13/10 8:05:51
268,Goddard House,229,1,4/13/10 8:05:53
268,Machado,33,1,4/13/10 8:06:02
269,Hegeman,C401,3,4/13/10 8:06:20
270,Sears House,306B,1,4/13/10 8:06:36
271,No Show,,,4/13/10 8:07:02
272,Hegeman,C209,3,4/13/10 8:07:19
273,Hegeman,B207,2,4/13/10 8:07:36
274,Gregorian Quad A,303,4,4/13/10 8:07:59
275,Hegeman,A301,3,4/13/10 8:08:39
275,Hegeman,A303,3,4/13/10 8:08:40
276,Gregorian Quad B,208,4,4/13/10 8:09:07
276,Gregorian Quad B,204,4,4/13/10 8:09:08
277,Goddard House,306A,1,4/13/10 8:09:47
277,Goddard House,306B,1,4/13/10 8:09:48
278,Gregorian Quad A,310,5,4/13/10 8:10:11
279,Gregorian Quad A,314,4,4/13/10 8:10:52
279,Gregorian Quad A,312,4,4/13/10 8:10:54
280,Gregorian Quad B,301,4,4/13/10 8:11:11
281,Slater Hall,301,4,4/13/10 8:11:31
282,Goddard House,315,1,4/13/10 8:11:56
282,Goddard House,216,1,4/13/10 8:11:57
282,Chapin House,322,1,4/13/10 8:12:29
283,Grad Center A,540,6,4/13/10 8:13:04
284,Champlin,103,1,4/13/10 8:13:25
285,Woolley,215,1,4/13/10 8:13:48
286,Gregorian Quad B,210,4,4/13/10 8:14:10
287,Hegeman,E213,3,4/13/10 8:14:44
288,Gregorian Quad A,301,4,4/13/10 8:14:59
289,Gregorian Quad B,304,4,4/13/10 8:15:10
290,Barbour Hall Apartments,330,3,4/13/10 8:15:25
291,New Pembroke #3,318,1,4/13/10 8:15:40
292,Hegeman,A203,3,4/13/10 8:16:10
292,Hegeman,B204,3,4/13/10 8:16:11
293,Gregorian Quad A,406,4,4/13/10 8:16:55
293,Gregorian Quad B,303,4,4/13/10 8:16:56
294,Gregorian Quad A,304,4,4/13/10 8:18:30
295,Gregorian Quad A,302,4,4/13/10 8:18:41
296,Gregorian Quad B,103,5,4/13/10 8:18:56
296,Gregorian Quad B,107,5,4/13/10 8:19:04
297,Hegeman,E116,3,4/13/10 8:19:13
298,Barbour Hall Apartments,170,4,4/13/10 8:19:32
299,Gregorian Quad A,212,4,4/13/10 8:19:57
300,Emery,201,1,4/13/10 8:20:12
301,Wayland House,400B,7,4/13/10 8:20:33
301,Archibald House,131,1,4/13/10 8:20:42
302,Gregorian Quad B,106,4,4/13/10 8:21:11
303,Hegeman,E112,3,4/13/10 8:21:35
304,Chapin House,114A,1,4/13/10 8:21:56
305,Woolley,419,1,4/13/10 8:22:11
305,Woolley,423,1,4/13/10 8:22:12
305,Woolley,415,1,4/13/10 8:22:18
306,New Pembroke #4,219,1,4/13/10 8:22:38
307,Slater Hall,302,2,4/13/10 8:22:57
307,Slater Hall,303,2,4/13/10 8:22:58
307,Slater Hall,202,2,4/13/10 8:22:59
308,Minden,815,3,4/13/10 8:23:13
309,Slater Hall,203,2,4/13/10 8:23:26
310,Chapin House,114B,1,4/13/10 8:24:37
311,Grad Center B,330,4,4/13/10 8:24:51
312,Emery,401,1,4/13/10 8:25:13
312,Emery,404,1,4/13/10 8:25:22
313,Emery,411,1,4/13/10 8:25:39
313,Emery,409,1,4/13/10 8:25:40
313,Emery,317,1,4/13/10 8:25:42
313,Emery,311,1,4/13/10 8:25:44
314,Champlin,108,1,4/13/10 8:25:59
315,Hegeman,E113,3,4/13/10 8:26:25
316,Drop to 354,,,4/13/10 8:26:39
317,Hegeman,D211,3,4/13/10 8:27:06
318,Gregorian Quad B,108,4,4/13/10 8:27:25
318,Gregorian Quad B,110,4,4/13/10 8:27:26
318,Gregorian Quad B,104,4,4/13/10 8:27:27
319,Gregorian Quad A,201,4,4/13/10 8:27:42
319,Gregorian Quad A,202,4,4/13/10 8:27:42
320,Woolley,407,1,4/13/10 8:27:59
321,Drop to 396,,,4/13/10 8:28:17
322,Gregorian Quad A,402,4,4/13/10 8:29:43
322,Gregorian Quad A,403,4,4/13/10 8:29:44
323,Barbour Hall Apartments,310,3,4/13/10 8:30:06
324,Hegeman,C402,3,4/13/10 8:30:26
324,Machado,32,1,4/13/10 8:30:34
324,Machado,38,1,4/13/10 8:30:35
325,Gregorian Quad A,309,4,4/13/10 8:31:06
325,Gregorian Quad A,311,4,4/13/10 8:31:07
326,Gregorian Quad A,214,4,4/13/10 8:31:29
326,Emery,217,1,4/13/10 8:31:38
326,New Pembroke #4,320,1,4/13/10 8:31:41
327,Gregorian Quad A,203,4,4/13/10 8:32:04
328,Woolley,123,1,4/13/10 8:32:21
329,Woolley,416,1,4/13/10 8:32:41
329,Woolley,406,1,4/13/10 8:32:42
329,Woolley,323,1,4/13/10 8:32:44
329,Woolley,315,1,4/13/10 8:32:45
329,Woolley,307,1,4/13/10 8:32:48
329,Woolley,223,1,4/13/10 8:32:50
329,Everett House,324,1,4/13/10 8:32:59
330,New Pembroke #4,209,1,4/13/10 8:33:22
330,New Pembroke #4,217,1,4/13/10 8:33:24
331,Wayland House,400A,7,4/13/10 8:33:45
332,Gregorian Quad B,201,4,4/13/10 8:34:11
332,Gregorian Quad B,202,4,4/13/10 8:34:11
332,Woolley,119,1,4/13/10 8:34:20
333,Woolley,207,1,4/13/10 8:34:39
333,Hegeman,C208,3,4/13/10 8:34:48
334,Hegeman,D309,3,4/13/10 8:35:04
334,Minden,306,2,4/13/10 8:35:15
334,Woolley,206,1,4/13/10 8:35:25
335,Chapin House,326A,1,4/13/10 8:36:09
335,Chapin House,326B,1,4/13/10 8:36:10
336,Gregorian Quad A,209,4,4/13/10 8:36:45
337,Gregorian Quad A,211,4,4/13/10 8:36:58
337,Gregorian Quad A,401,4,4/13/10 8:36:59
338,Hegeman,E212,2,4/13/10 8:37:22
339,Grad Center C,510,6,4/13/10 8:37:42
340,No Show,,,4/13/10 8:38:07
341,Gregorian Quad A,407,4,4/13/10 8:38:46
341,Gregorian Quad A,408,2,4/13/10 8:38:47
342,New Pembroke #4,303,1,4/13/10 8:39:34
343,Minden,615,3,4/13/10 8:40:01
343,Minden,513,3,4/13/10 8:40:02
344,Gregorian Quad B,302,4,4/13/10 8:40:20
345,Gregorian Quad B,105,4,4/13/10 8:40:35
346,Gregorian Quad B,404,4,4/13/10 8:40:51
346,New Pembroke #4,423,1,4/13/10 8:41:00
347,Slater Hall,201,4,4/13/10 8:41:20
347,Hegeman,C308,3,4/13/10 8:41:27
348,Gregorian Quad B,102,4,4/13/10 8:41:46
348,Grad Center A,230,4,4/13/10 8:41:56
348,Poland House,201,1,4/13/10 8:42:00
349,Grad Center C,110,4,4/13/10 8:42:40
350,Hegeman,C109,3,4/13/10 8:42:54
350,Minden,706,2,4/13/10 8:43:00
351,Hegeman,D403,3,4/13/10 8:43:45
351,New Pembroke #4,313,1,4/13/10 8:44:04
352,Barbour Hall Apartments,130,3,4/13/10 8:44:21
353,Hegeman,C108,3,4/13/10 8:44:35
353,Hegeman,D111,3,4/13/10 8:44:41
353,Poland House,327,1,4/13/10 8:44:46
354,Grad Center A,440,6,4/13/10 8:45:08
354,Grad Center A,410,5,4/13/10 8:45:10
355,Hegeman,B104,3,4/13/10 8:45:52
355,New Pembroke #4,301,1,4/13/10 8:45:56
356,New Pembroke #4,302,1,4/13/10 8:46:49
357,Poland House,323,1,4/13/10 8:47:06
357,Poland House,325,1,4/13/10 8:47:06
358,Poland House,207,1,4/13/10 8:47:20
359,Minden,506,2,4/13/10 8:47:36
359,Minden,508,2,4/13/10 8:47:36
359,Poland House,418,1,4/13/10 8:47:45
360,Hegeman,A103,3,4/13/10 8:48:06
360,Hegeman,D404,3,4/13/10 8:48:07
361,New Pembroke #4,325,1,4/13/10 8:48:30
362,New Pembroke #4,323,1,4/13/10 8:48:44
362,New Pembroke #4,326,1,4/13/10 8:48:48
362,New Pembroke #4,327,1,4/13/10 8:48:49
362,New Pembroke #4,402,1,4/13/10 8:49:00
362,New Pembroke #4,403,1,4/13/10 8:49:02
363,New Pembroke #3,315,1,4/13/10 8:49:21
363,New Pembroke #3,317,1,4/13/10 8:49:22
364,Slater Hall,401,3,4/13/10 8:49:48
364,Slater Hall,304,4,4/13/10 8:49:49
365,New Pembroke #4,425,1,4/13/10 8:50:03
365,New Pembroke #3,215,1,4/13/10 8:50:31
366,New Pembroke #4,421,1,4/13/10 8:51:21
366,New Pembroke #4,413,1,4/13/10 8:51:21
366,New Pembroke #4,427,1,4/13/10 8:51:21
366,New Pembroke #4,426,1,4/13/10 8:51:22
367,Barbour Hall Apartments,120,4,4/13/10 8:52:26
368,New Pembroke #2,204,1,4/13/10 8:52:53
369,New Pembroke #3,103,1,4/13/10 8:53:27
369,New Pembroke #3,217,1,4/13/10 8:53:28
369,New Pembroke #3,218,1,4/13/10 8:53:29
369,New Pembroke #3,203,1,4/13/10 8:53:30
370,Poland House,202,1,4/13/10 8:53:48
370,Poland House,203,1,4/13/10 8:53:49
370,Gregorian Quad B,307,5,4/13/10 8:53:58
370,Minden,315,3,4/13/10 8:54:08
371,Minden,507,3,4/13/10 8:54:41
372,Minden,415,3,4/13/10 8:55:02
372,Poland House,321,1,4/13/10 8:55:17
372,Poland House,334,1,4/13/10 8:55:18
372,Poland House,336,1,4/13/10 8:55:18
372,Archibald House,217,1,4/13/10 8:55:54
372,Poland House,338,1,4/13/10 8:55:52
373,Minden,308,2,4/13/10 8:56:29
374,Grad Center B,340,5,4/13/10 8:56:45
374,Archibald House,218,1,4/13/10 8:56:52
374,Archibald House,227,1,4/13/10 8:56:54
375,Grad Center B,530,5,4/13/10 8:57:10
376,New Pembroke #3,303,1,4/13/10 8:57:22
377,Grad Center A,420,6,4/13/10 8:57:40
